,排名,代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,一個月走勢圖,三個月走勢圖,一年走勢圖,三年走勢圖
0,1,3008,大立光,市,12/24,,4870,0,0,218,1067,4870,4870,4940,4870,1.44,24.5,5.5,,,,
1,2,6510,精測,櫃,12/24,,1040,+10,+0.97,554,574,1030,1040,1055,1020,3.4,54.6,5.43,,,,
2,3,5274,信驊,櫃,12/24,,932,-19,-2,134,126,951,950,951,932,2,41.5,13.3,,,,
3,4,6415,矽力-KY,市,12/24,,926,-7,-0.75,299,280,933,937,943,926,1.82,41.5,5.89,,,,
4,5,6409,旭隼,市,12/24,,701,-16,-2.23,178,125,717,715,717,698,2.65,28.2,13.3,,,,
5,6,2207,和泰車,市,12/24,,686,-8,-1.15,161,111,694,690,695,686,1.3,33.4,7.09,,,,
6,7,5269,祥碩,市,12/24,,629,+2,+0.32,288,180,627,631,631,618,2.07,36.2,16.1,,,,
7,8,6669,緯穎,市,12/24,,627,0,0,393,247,627,628,629,624,0.8,19.9,5.94,,,,
8,9,4966,譜瑞-KY,櫃,12/24,,601,+1,+0.17,180,109,600,606,610,601,1.5,19.3,4.36,,,,
9,10,3406,玉晶光,市,12/24,,531,-8,-1.48,9131,4934,539,543,549,528,3.9,29.5,5.97,,,,
10,11,1565,精華,櫃,12/24,,463,0,0,222,103,463,463,466,460,1.3,16.7,4.29,,,,
11,12,2454,聯發科,市,12/24,,445,-4,-0.89,3109,1387,449,448,448,444.5,0.78,34.3,2.26,,,,
12,13,1590,亞德客-KY,市,12/24,,438,-4,-0.9,258,113,442,442,443,435.5,1.7,32.1,4.73,,,,
13,14,5904,寶雅,櫃,12/24,,430,0,0,27,11.4,430,430,432,429,0.7,23.4,10.8,,,,
14,15,1476,儒鴻,市,12/24,,408,-2,-0.49,65,26.7,410,410,410,407,0.73,25.4,6.54,,,,
15,16,2327,國巨,市,12/24,,395,+12,+3.13,15463,6080,383,390,398,388,2.61,16.3,3.71,,,,
16,17,3293,鈊象,櫃,12/24,,380,+7.5,+2.01,858,326,372.5,375.5,385,374,2.95,16.4,6.07,,,,
17,18,6488,環球晶,櫃,12/24,,379,+2.5,+0.66,2789,1055,376.5,378,380,376,1.06,11.5,3.83,,,,
18,19,3529,力旺,櫃,12/24,,361,+2.5,+0.7,76,27.4,358.5,359.5,367.5,359.5,2.23,47.5,17,,,,
19,20,2059,川湖,市,12/24,,341,-14.5,-4.08,452,156,355.5,360,360,340,5.63,18.8,3.12,,,,
20,21,2330,台積電,市,12/24,,332,-2,-0.6,13784,4592,334,334,334.5,332,0.75,26.1,5.42,,,,
21,22,8299,群聯,櫃,12/24,,331,+11,+3.44,5831,1915,320,322.5,337,320.5,5.16,16,2.34,,,,
22,23,3563,牧德,市,12/24,,324,+4,+1.25,871,285,320,321.5,331,321.5,2.97,12.4,7.56,,,,
23,24,6643,M31,櫃,12/24,,322.5,+1,+0.31,139,44.7,321.5,322.5,323,321,0.62,31,7.48,,,,
24,25,3533,嘉澤,市,12/24,,314.5,+0.5,+0.16,890,282,314,316.5,321.5,313,2.71,16.6,2.9,,,,
25,26,3152,璟德,櫃,12/24,,314,+3.5,+1.13,199,61.9,310.5,310.5,315.5,305.5,3.22,31.2,6.9,,,,
26,27,6121,新普,櫃,12/24,,311.5,-3,-0.95,688,215,314.5,315,315,310.5,1.43,15.4,2.58,,,,
27,28,2912,統一超,市,12/24,,309,+0.5,+0.16,368,113,308.5,308.5,309,306.5,0.81,30.5,9.25,,,,
28,29,2395,研華,市,12/24,,303,-5,-1.62,156,47.7,308,310,310,303,2.27,29.1,6.96,,,,
29,30,3105,穩懋,櫃,12/24,,293.5,+5.5,+1.91,6617,1936,288,290,295.5,289,2.26,36.9,4.38,,,,
30,31,8454,富邦媒,市,12/24,,292,-1,-0.34,22,6.51,293,296,296,290,2.05,29.6,6.93,,,,
31,32,8436,大江,櫃,12/24,,290,-2,-0.68,809,236,292,292,295,290,1.71,15.1,5.19,,,,
32,33,2049,上銀,市,12/24,,281,-2.5,-0.88,958,270,283.5,285.5,285.5,280.5,1.76,32.3,3.67,,,,
33,34,2227,裕日車,市,12/24,,279.5,-4.5,-1.58,101,28.5,284,284,284,279,1.76,12.7,4.23,,,,
34,35,8464,億豐,市,12/24,,275,-2,-0.72,161,44.4,277,278,278,275,1.08,18.7,6.3,,,,
