,排名,代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,一個月走勢圖,三個月走勢圖,一年走勢圖,三年走勢圖
0,1,3008,大立光,市,12/26,,4940,+40,+0.82,194,960,4900,4950,4970,4920,1.02,24.9,5.58,,,,
1,2,6510,精測,櫃,12/26,,1055,+10,+0.96,487,516,1045,1060,1075,1050,2.39,55.4,5.51,,,,
2,3,5274,信驊,櫃,12/26,,950,+20,+2.15,153,144,930,931,950,931,2.04,42.3,13.6,,,,
3,4,6415,矽力-KY,市,12/26,,935,0,0,313,294,935,944,954,935,2.03,42,5.95,,,,
4,5,6409,旭隼,市,12/26,,713,+5,+0.71,55,39,708,707,718,707,1.55,28.6,13.6,,,,
5,6,2207,和泰車,市,12/26,,689,-4,-0.58,116,80.2,693,693,693,689,0.58,33.6,7.12,,,,
6,7,5269,祥碩,市,12/26,,635,+2,+0.32,213,136,633,633,642,633,1.42,36.6,16.3,,,,
7,8,6669,緯穎,市,12/26,,614,-8,-1.29,813,501,622,626,626,609,2.73,19.5,5.81,,,,
8,9,4966,譜瑞-KY,櫃,12/26,,604,+5,+0.83,135,81.5,599,603,609,598,1.84,19.4,4.39,,,,
9,10,3406,玉晶光,市,12/26,,540,+7,+1.31,4719,2537,533,535,542,533,1.69,30,6.07,,,,
10,11,1565,精華,櫃,12/26,,465.5,+2,+0.43,133,62,463.5,463.5,467,463.5,0.76,16.8,4.31,,,,
11,12,2454,聯發科,市,12/26,,449,-3,-0.66,5855,2664,452,459.5,460.5,449,2.54,34.6,2.28,,,,
12,13,1590,亞德客-KY,市,12/26,,435,-1,-0.23,546,238,436,439.5,442,434,1.83,31.9,4.7,,,,
13,14,5904,寶雅,櫃,12/26,,419,-5.5,-1.3,132,55.4,424.5,422,422,418,0.94,22.8,10.5,,,,
14,15,1476,儒鴻,市,12/26,,406,-2,-0.49,74,30,408,409,409,405.5,0.86,25.3,6.51,,,,
15,16,2327,國巨,市,12/26,,402,-1.5,-0.37,12140,4942,403.5,408,412.5,401.5,2.73,16.6,3.78,,,,
16,17,6488,環球晶,櫃,12/26,,386.5,-1.5,-0.39,2780,1082,388,392,392.5,386.5,1.55,11.7,3.91,,,,
17,18,3293,鈊象,櫃,12/26,,381.5,-5.5,-1.42,556,214,387,387,389.5,381.5,2.07,16.5,6.09,,,,
18,19,3529,力旺,櫃,12/26,,364,+2.5,+0.69,319,117,361.5,364,367.5,363.5,1.11,47.9,17.2,,,,
19,20,2059,川湖,市,12/26,,354,+6.5,+1.87,260,91.1,347.5,350,354,347,2.01,19.5,3.24,,,,
20,21,8299,群聯,櫃,12/26,,346,+10,+2.98,4950,1701,336,337,347,333.5,4.02,16.7,2.44,,,,
21,22,3563,牧德,市,12/26,,343,+9,+2.69,1616,546,334,332.5,343.5,331,3.74,13.2,8,,,,
22,23,2330,台積電,市,12/26,,333,0,0,11428,3804,333,333,334,331.5,0.75,26.2,5.44,,,,
23,24,6643,M31,櫃,12/26,,326.5,+4,+1.24,292,95.5,322.5,324,327.5,323.5,1.24,31.3,7.57,,,,
24,25,3533,嘉澤,市,12/26,,317.5,-4.5,-1.4,721,231,322,324,324.5,317,2.33,16.8,2.93,,,,
25,26,3152,璟德,櫃,12/26,,315.5,-5.5,-1.71,400,127,321,323,324.5,315,2.96,31.3,6.93,,,,
26,27,2912,統一超,市,12/26,,310,0,0,319,98.7,310,309.5,310,308.5,0.48,30.6,9.28,,,,
27,28,6121,新普,櫃,12/26,,307.5,-3.5,-1.13,663,204,311,313,313,307,1.93,15.2,2.55,,,,
28,29,2395,研華,市,12/26,,305,-2,-0.65,157,48.2,307,308,308,304,1.3,29.3,7,,,,
29,30,3105,穩懋,櫃,12/26,,300,+5,+1.69,7149,2134,295,297,301.5,293.5,2.71,37.7,4.47,,,,
30,31,6230,超眾,市,12/26,,295,+24,+8.86,11723,3325,271,271,295,268,9.96,32.4,6.43,,,,
31,32,8454,富邦媒,市,12/26,,292,-0.5,-0.17,12,3.54,292.5,292,293,289.5,1.2,29.6,6.93,,,,
32,33,3081,聯亞,櫃,12/26,,291.5,-1,-0.34,3184,928,292.5,291,296,286.5,3.25,47.3,6.71,,,,
33,34,8436,大江,櫃,12/26,,288,0,0,1097,317,288,288,292,287,1.74,15,5.15,,,,
