,排名,代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,一個月走勢圖,三個月走勢圖,一年走勢圖,三年走勢圖
0,1,3008,大立光,市,12/20,,5030,-30,-0.59,613,3102,5060,5125,5130,5015,2.27,25.3,5.69,,,,
1,2,6510,精測,櫃,12/20,,995,-50,-4.78,966,969,1045,1015,1020,991,2.78,52.3,5.19,,,,
2,3,5274,信驊,櫃,12/20,,948,-12,-1.25,103,97.9,960,961,965,940,2.6,42.2,13.5,,,,
3,4,6415,矽力-KY,市,12/20,,932,-16,-1.69,461,432,948,950,950,929,2.22,41.8,5.93,,,,
4,5,6409,旭隼,市,12/20,,720,-4,-0.55,69,49.9,724,720,722,713,1.24,28.9,13.7,,,,
5,6,2207,和泰車,市,12/20,,691,+13,+1.92,892,616,678,681,698,679,2.8,33.7,7.14,,,,
6,7,6669,緯穎,市,12/20,,612,-4,-0.65,814,500,616,620,622,611,1.79,19.4,5.79,,,,
7,8,5269,祥碩,市,12/20,,608,-4,-0.65,395,242,612,619,623,603,3.27,35,15.6,,,,
8,9,4966,譜瑞-KY,櫃,12/20,,600,-1,-0.17,385,232,601,609,609,599,1.66,19.2,4.36,,,,
9,10,3406,玉晶光,市,12/20,,522,-4,-0.76,7915,4168,526,532,533,522,2.09,29,5.87,,,,
10,11,1565,精華,櫃,12/20,,458,-1,-0.22,444,205,459,459,464.5,457.5,1.53,16.5,4.24,,,,
11,12,2454,聯發科,市,12/20,,446,-8.5,-1.87,14496,6469,454.5,454.5,454.5,442,2.75,34.4,2.27,,,,
12,13,5904,寶雅,櫃,12/20,,433.5,0,0,181,78.2,433.5,430,434,428.5,1.27,23.6,10.9,,,,
13,14,1590,亞德客-KY,市,12/20,,433,-8.5,-1.93,1310,573,441.5,447,449.5,433,3.74,31.7,4.68,,,,
14,15,1476,儒鴻,市,12/20,,407.5,-3,-0.73,553,226,410.5,411.5,412,407.5,1.1,25.4,6.53,,,,
15,16,2327,國巨,市,12/20,,389.5,+6.5,+1.7,24204,9578,383,394.5,404,389.5,3.79,16.1,3.66,,,,
16,17,6488,環球晶,櫃,12/20,,372,-0.5,-0.13,3331,1245,372.5,376,377.5,371,1.74,11.2,3.76,,,,
17,18,3293,鈊象,櫃,12/20,,371.5,+1.5,+0.41,397,148,370,371,377,370.5,1.76,16,5.93,,,,
18,19,3529,力旺,櫃,12/20,,363.5,0,0,177,64.6,363.5,367,367.5,362.5,1.38,47.8,17.2,,,,
19,20,2059,川湖,市,12/20,,350,-6,-1.69,165,58.4,356,358,358,350,2.25,19.3,3.2,,,,
20,21,2330,台積電,市,12/20,,329,-6,-1.79,86280,28483,335,332,333,328.5,1.34,25.9,5.38,,,,
21,22,6643,M31,櫃,12/20,,324.5,-4,-1.22,448,145,328.5,332,332,320,3.65,31.1,7.52,,,,
22,23,3533,嘉澤,市,12/20,,319,+1,+0.31,285,90.8,318,321,321,317.5,1.1,16.9,2.94,,,,
23,24,3563,牧德,市,12/20,,319,-1.5,-0.47,302,96.1,320.5,321,321.5,315,2.03,12.2,7.44,,,,
24,25,6121,新普,櫃,12/20,,314,-1,-0.32,418,131,315,316.5,316.5,314,0.79,15.6,2.6,,,,
25,26,3152,璟德,櫃,12/20,,310,-7,-2.21,274,85.5,317,318,318.5,309.5,2.84,30.8,6.81,,,,
26,27,8299,群聯,櫃,12/20,,307,-1,-0.32,2186,675,308,311,314,307,2.27,14.8,2.17,,,,
