,排名,代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,一個月走勢圖,三個月走勢圖,一年走勢圖,三年走勢圖
0,1,3008,大立光,市,12/25,,4900,+30,+0.62,105,514,4870,4900,4915,4870,0.92,24.7,5.54,,,,
1,2,6510,精測,櫃,12/25,,1045,+5,+0.48,260,270,1040,1040,1045,1035,0.96,54.9,5.46,,,,
2,3,6415,矽力-KY,市,12/25,,935,+9,+0.97,231,216,926,932,941,926,1.62,42,5.95,,,,
3,4,5274,信驊,櫃,12/25,,930,-2,-0.21,66,61.5,932,932,940,928,1.29,41.4,13.3,,,,
4,5,6409,旭隼,市,12/25,,708,+7,+1,26,18.4,701,700,711,700,1.57,28.4,13.4,,,,
5,6,2207,和泰車,市,12/25,,693,+7,+1.02,91,63.1,686,692,693,687,0.87,33.8,7.16,,,,
6,7,5269,祥碩,市,12/25,,633,+4,+0.64,204,128,629,627,634,624,1.59,36.5,16.2,,,,
7,8,6669,緯穎,市,12/25,,622,-5,-0.8,739,464,627,629,634,622,1.91,19.7,5.89,,,,
8,9,4966,譜瑞-KY,櫃,12/25,,599,-2,-0.33,125,75.1,601,600,604,597,1.16,19.2,4.35,,,,
9,10,3406,玉晶光,市,12/25,,533,+2,+0.38,4597,2438,531,532,534,525,1.69,29.6,5.99,,,,
10,11,1565,精華,櫃,12/25,,463.5,+0.5,+0.11,204,94.9,463,464,467,462.5,0.97,16.7,4.29,,,,
11,12,2454,聯發科,市,12/25,,452,+7,+1.57,2912,1308,445,444,453,444,2.02,34.9,2.3,,,,
12,13,1590,亞德客-KY,市,12/25,,436,-2,-0.46,222,97,438,437.5,441,434.5,1.48,32,4.71,,,,
13,14,5904,寶雅,櫃,12/25,,424.5,-5.5,-1.28,86,36.5,430,428,428,422,1.4,23.1,10.7,,,,
14,15,1476,儒鴻,市,12/25,,408,0,0,122,49.8,408,408,409.5,405.5,0.98,25.4,6.54,,,,
15,16,2327,國巨,市,12/25,,403.5,+8.5,+2.15,12243,4908,395,395,404,395,2.28,16.6,3.79,,,,
16,17,6488,環球晶,櫃,12/25,,388,+9,+2.37,8315,3235,379,382,394,382,3.17,11.7,3.92,,,,
17,18,3293,鈊象,櫃,12/25,,387,+7,+1.84,1601,620,380,380,393,376,4.47,16.7,6.18,,,,
18,19,3529,力旺,櫃,12/25,,361.5,+0.5,+0.14,159,57.5,361,364,364,358.5,1.52,47.6,17.1,,,,
19,20,2059,川湖,市,12/25,,347.5,+6.5,+1.91,521,178,341,343,347.5,336.5,3.23,19.2,3.18,,,,
20,21,8299,群聯,櫃,12/25,,336,+5,+1.51,4186,1413,331,332.5,340,332.5,2.27,16.2,2.37,,,,
21,22,3563,牧德,市,12/25,,334,+10,+3.09,1199,397,324,324,336,324,3.7,12.8,7.79,,,,
22,23,2330,台積電,市,12/25,,333,+1,+0.3,12263,4075,332,332,334.5,331,1.05,26.2,5.44,,,,
23,24,6643,M31,櫃,12/25,,322.5,0,0,199,64.3,322.5,323.5,324.5,322,0.78,31,7.48,,,,
24,25,3533,嘉澤,市,12/25,,322,+7.5,+2.38,739,236,314.5,316,322,316,1.91,17,2.97,,,,
25,26,3152,璟德,櫃,12/25,,321,+7,+2.23,616,197,314,314.5,323.5,313.5,3.18,31.8,7.05,,,,
26,27,6121,新普,櫃,12/25,,311,-0.5,-0.16,423,131,311.5,312,314,310,1.28,15.4,2.58,,,,
27,28,2912,統一超,市,12/25,,310,+1,+0.32,207,64.1,309,309,310,308.5,0.49,30.6,9.28,,,,
28,29,2395,研華,市,12/25,,307,+4,+1.32,218,66.1,303,305,307,301,1.98,29.5,7.05,,,,
29,30,3105,穩懋,櫃,12/25,,295,+1.5,+0.51,3559,1048,293.5,294,296.5,291,1.87,37.1,4.4,,,,
30,31,3081,聯亞,櫃,12/25,,292.5,+19.5,+7.14,4774,1365,273,275,294.5,274.5,7.33,47.5,6.73,,,,
31,32,8454,富邦媒,市,12/25,,292.5,+0.5,+0.17,27,7.85,292,288.5,292.5,286,2.23,29.6,6.95,,,,
32,33,8436,大江,櫃,12/25,,288,-2,-0.69,1094,315,290,290,292,286,2.07,15,5.15,,,,
33,34,2227,裕日車,市,12/25,,284.5,+5,+1.79,70,19.9,279.5,280,284.5,280,1.61,12.9,4.31,,,,
34,35,2049,上銀,市,12/25,,278,-3,-1.07,1570,435,281,278,278.5,274.5,1.42,31.9,3.63,,,,
35,36,3131,弘塑,櫃,12/25,,277,+7,+2.59,481,132,270,270,277,270,2.59,28.2,3.04,,,,
36,37,8464,億豐,市,12/25,,277,+2,+0.73,117,32.3,275,277,277,273,1.45,18.8,6.35,,,,
37,38,2729,瓦城,櫃,12/25,,275,+0.5,+0.18,7,1.98,274.5,275,275,275,0,17.7,3.22,,,,
38,39,6230,超眾,市,12/25,,271,+9,+3.44,6560,1752,262,265,271,258.5,4.77,29.8,5.9,,,,
39,40,6414,樺漢,市,12/25,,250.5,+2.5,+1.01,442,110,248,248.5,250.5,247.5,1.21,20.3,2.55,,,,
40,41,2231,為升,市,12/25,,244.5,+4.5,+1.88,514,125,240,242.5,245,242,1.25,26.3,7.43,,,,
41,42,3443,創意,市,12/25,,244,+1.5,+0.62,938,226,242.5,239.5,244,239.5,1.86,51.5,8.07,,,,
42,43,3611,鼎翰,櫃,12/25,,244,-1,-0.41,61,14.9,245,244.5,245,243,0.82,13.8,3.55,,,,
43,44,2474,可成,市,12/25,,243,+0.5,+0.21,1352,328,242.5,243,244.5,242,1.03,12.7,1.25,,,,
