,排名,代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,一個月走勢圖,三個月走勢圖,一年走勢圖,三年走勢圖
0,1,3008,大立光,市,12/23,,4870,-160,-3.18,716,3520,5030,5050,5090,4860,4.57,24.5,5.5,,,,
1,2,6510,精測,櫃,12/23,,1030,+35,+3.52,569,581,995,1000,1035,1000,3.52,54.1,5.38,,,,
2,3,5274,信驊,櫃,12/23,,951,+3,+0.32,80,76.4,948,952,964,945,2,42.3,13.6,,,,
3,4,6415,矽力-KY,市,12/23,,933,+1,+0.11,296,278,932,942,946,933,1.39,41.9,5.94,,,,
4,5,6409,旭隼,市,12/23,,717,-3,-0.42,51,37,720,713,721,713,1.11,28.8,13.6,,,,
5,6,2207,和泰車,市,12/23,,694,+3,+0.43,306,212,691,691,696,685,1.59,33.8,7.17,,,,
6,7,5269,祥碩,市,12/23,,627,+19,+3.12,239,149,608,608,627,608,3.12,36.1,16.1,,,,
7,8,6669,緯穎,市,12/23,,627,+15,+2.45,1040,648,612,616,628,612,2.61,19.9,5.94,,,,
8,9,4966,譜瑞-KY,櫃,12/23,,600,0,0,107,64.6,600,605,605,600,0.83,19.2,4.36,,,,
9,10,3406,玉晶光,市,12/23,,539,+17,+3.26,8172,4341,522,527,539,524,2.87,30,6.06,,,,
10,11,1565,精華,櫃,12/23,,463,+5,+1.09,295,136,458,458.5,464,458,1.31,16.7,4.29,,,,
11,12,2454,聯發科,市,12/23,,449,+3,+0.67,5692,2549,446,445.5,450,442,1.79,34.6,2.28,,,,
12,13,1590,亞德客-KY,市,12/23,,442,+9,+2.08,715,314,433,432.5,442,432,2.31,32.4,4.77,,,,
13,14,5904,寶雅,櫃,12/23,,430,-3.5,-0.81,149,64,433.5,434.5,435,430,1.15,23.4,10.8,,,,
14,15,1476,儒鴻,市,12/23,,410,+2.5,+0.61,208,85.2,407.5,408,411,408,0.74,25.5,6.57,,,,
15,16,2327,國巨,市,12/23,,383,-6.5,-1.67,9065,3497,389.5,388,390,383,1.8,15.8,3.6,,,,
16,17,6488,環球晶,櫃,12/23,,376.5,+4.5,+1.21,2191,821,372,375,377.5,372,1.48,11.4,3.8,,,,
17,18,3293,鈊象,櫃,12/23,,372.5,+1,+0.27,190,70.8,371.5,374,374.5,372,0.67,16.1,5.95,,,,
18,19,3529,力旺,櫃,12/23,,358.5,-5,-1.38,91,32.7,363.5,363.5,363.5,358.5,1.38,47.2,16.9,,,,
19,20,2059,川湖,市,12/23,,355.5,+5.5,+1.57,328,118,350,352,364.5,352,3.57,19.6,3.25,,,,
20,21,2330,台積電,市,12/23,,334,+5,+1.52,26911,8924,329,329.5,334,329.5,1.37,26.3,5.46,,,,
21,22,6643,M31,櫃,12/23,,321.5,-3,-0.92,237,76.3,324.5,324.5,325.5,319.5,1.85,30.8,7.45,,,,
22,23,3563,牧德,市,12/23,,320,+1,+0.31,326,105,319,322,325.5,320,1.72,12.3,7.46,,,,
23,24,8299,群聯,櫃,12/23,,320,+13,+4.23,5328,1705,307,320,324,315.5,2.77,15.4,2.26,,,,
24,25,6121,新普,櫃,12/23,,314.5,+0.5,+0.16,213,67,314,315,317,314,0.96,15.6,2.61,,,,
25,26,3533,嘉澤,市,12/23,,314,-5,-1.57,694,219,319,320,320,314,1.88,16.6,2.9,,,,
26,27,3152,璟德,櫃,12/23,,310.5,+0.5,+0.16,146,45.2,310,310,312,306.5,1.77,30.8,6.82,,,,
27,28,2912,統一超,市,12/23,,308.5,+4,+1.31,504,155,304.5,305,308.5,305,1.15,30.4,9.24,,,,
28,29,2395,研華,市,12/23,,308,+6.5,+2.16,392,120,301.5,299,309.5,299,3.48,29.6,7.07,,,,
29,30,8454,富邦媒,市,12/23,,293,-1,-0.34,20,5.8,294,294,294.5,293,0.51,29.7,6.96,,,,
30,31,8436,大江,櫃,12/23,,292,-3,-1.02,708,209,295,297.5,299,292,2.37,15.2,5.23,,,,
31,32,3105,穩懋,櫃,12/23,,288,+5,+1.77,3369,965,283,286,288,284.5,1.24,36.2,4.3,,,,
32,33,2227,裕日車,市,12/23,,284,-4,-1.39,71,20.1,288,288,289,283.5,1.91,12.9,4.3,,,,
33,34,2049,上銀,市,12/23,,283.5,+1.5,+0.53,974,277,282,282,286,282,1.42,32.6,3.7,,,,
34,35,8464,億豐,市,12/23,,277,+2,+0.73,227,62.9,275,275.5,279.5,275,1.64,18.8,6.35,,,,
35,36,2729,瓦城,櫃,12/23,,273,-2,-0.73,25,6.87,275,273.5,275.5,273,0.91,17.5,3.2,,,,
36,37,3081,聯亞,櫃,12/23,,272.5,+10.5,+4.01,2518,677,262,265,272.5,264,3.24,44.2,6.27,,,,
37,38,3131,弘塑,櫃,12/23,,265.5,-3.5,-1.3,368,98.1,269,270.5,271.5,264,2.79,27,2.91,,,,
38,39,6230,超眾,市,12/23,,256,+1,+0.39,8859,2338,255,259,270.5,256,5.69,28.1,5.58,,,,
39,40,6414,樺漢,市,12/23,,252.5,+0.5,+0.2,261,65.8,252,252,254,251,1.19,20.5,2.57,,,,
40,41,3611,鼎翰,櫃,12/23,,245.5,-1.5,-0.61,30,7.37,247,247.5,247.5,245.5,0.81,13.9,3.58,,,,
41,42,2474,可成,市,12/23,,245,+2,+0.82,2032,495,243,242,245,242,1.23,12.8,1.26,,,,
42,43,3443,創意,市,12/23,,245,0,0,804,197,245,246.5,247,243.5,1.43,51.7,8.1,,,,
43,44,5287,數字,櫃,12/23,,244,+2.5,+1.04,15,3.66,241.5,242,245,242,1.24,17.9,6.42,,,,
44,45,4137,麗豐-KY,市,12/23,,242,+7,+2.98,1381,334,235,237,244,236.5,3.19,14,4.72,,,,
45,46,2231,為升,市,12/23,,240,-1.5,-0.62,128,30.8,241.5,242,242.5,239,1.45,25.8,7.29,,,,
46,47,8437,大地-KY,櫃,12/23,,239,-0.5,-0.21,25,5.88,239.5,240,240,238.5,0.63,18.4,4.53,,,,
47,48,2379,瑞昱,市,12/23,,238,-1.5,-0.63,1017,242,239.5,239.5,240.5,237,1.46,19.4,4.54,,,,
48,49,8341,日友,市,12/23,,237,+5,+2.16,105,24.7,232,232,237,232,2.16,26.5,9.47,,,,
49,50,2357,華碩,市,12/23,,235.5,+2.5,+1.07,642,151,233,233,235.5,232,1.5,26.2,1.04,,,,
50,51,6462,神盾,櫃,12/23,,230.5,-6,-2.54,2605,607,236.5,235.5,238,230.5,3.17,25.8,6.21,,,,
51,52,3661,世芯-KY,市,12/23,,223,-8,-3.46,4113,928,231,233,234,222,5.19,60.4,4.15,,,,
52,53,1264,德麥,櫃,12/23,,221.5,-0.5,-0.23,6,1.37,222,221,222,221,0.45,16.3,3.32,,,,
53,54,6561,是方,櫃,12/23,,221.5,-0.5,-0.23,21,4.51,222,222,222,219,1.35,29,5.66,,,,
54,55,1256,鮮活果汁-KY,市,12/23,,219,-2.5,-1.13,87,19.2,221.5,221.5,221.5,218.5,1.35,14.2,3.78,,,,
55,56,5903,全家,櫃,12/23,,219,+0.5,+0.23,17,3.81,218.5,218.5,220,218.5,0.69,28.7,8.87,,,,
56,57,6146,耕興,櫃,12/23,,217.5,-1,-0.46,41,8.83,218.5,220,220,216.5,1.6,30.2,5.83,,,,
57,58,3034,聯詠,市,12/23,,216,+3.5,+1.65,9376,2017,212.5,214.5,217.5,212,2.59,16.1,4.22,,,,
58,59,3665,貿聯-KY,市,12/23,,214.5,-1,-0.46,886,193,215.5,217,217.5,214.5,1.39,14.1,2.71,,,,
59,60,3324,雙鴻,櫃,12/23,,212,+1,+0.47,5149,1103,211,212.5,217.5,211.5,2.84,20.2,5.74,,,,
60,61,3653,健策,市,12/23,,212,+7,+3.41,8706,1825,205,206,214,203.5,5.12,36.8,4.49,,,,
61,62,9921,巨大,市,12/23,,212,-1,-0.47,419,88.8,213,213.5,213.5,211,1.17,22.4,3.72,,,,
62,63,6452,康友-KY,市,12/23,,211,-2,-0.94,875,186,213,213.5,215,210.5,2.11,14.9,2.21,,,,
63,64,8406,金可-KY,櫃,12/23,,211,0,0,269,56.8,211,211,213,208.5,2.13,18.8,1.87,,,,
64,65,6803,崑鼎,櫃,12/23,,209.5,0,0,18,3.82,209.5,209,209.5,209,0.24,17.4,2.91,,,,
65,66,4947,昂寶-KY,櫃,12/23,,203.5,+0.5,+0.25,1650,338,203,204,209,201,3.94,19.7,2.95,,,,
66,67,2404,漢唐,市,12/23,,200,+11,+5.82,9695,1893,189,189.5,200,187,6.88,13.8,4.97,,,,
67,68,9910,豐泰,市,12/23,,199,+3,+1.53,1122,222,196,196,199.5,196,1.79,22.7,8.86,,,,
