,排名,代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,一個月走勢圖,三個月走勢圖,一年走勢圖,三年走勢圖
68,69,8462,柏文,市,12/23,,197,-2.5,-1.25,142,28,199.5,199.5,199.5,197,1.25,26.3,7.11,,,,
69,70,6538,倉和,櫃,12/23,,195,-12.5,-6.02,1384,278,207.5,206,208,195,6.27,27,4.49,,,,
70,71,1707,葡萄王,市,12/23,,191,+0.5,+0.26,60,11.5,190.5,191,192,190.5,0.79,20.2,4.52,,,,
71,72,2492,華新科,市,12/23,,190.5,+1.5,+0.79,10173,1929,189,190,191,187,2.12,8.91,2.86,,,,
72,73,6683,雍智科技,櫃,12/23,,189.5,-3.5,-1.81,376,71.3,193,194.5,194.5,187,3.89,26.6,3.94,,,,
73,74,4439,冠星-KY,市,12/23,,188,+0.5,+0.27,72,13.5,187.5,187.5,189,187,1.07,20,2.99,,,,
74,75,3413,京鼎,市,12/23,,185.5,-2.5,-1.33,2054,385,188,191,191.5,185,3.46,26.2,3.83,,,,
75,76,5536,聖暉,櫃,12/23,,185,+3,+1.65,308,56.5,182,182.5,185,182,1.65,11.2,2.35,,,,
76,77,6568,宏觀,櫃,12/23,,181.5,+2,+1.11,63,11.4,179.5,179.5,182,178.5,1.95,17.7,3.32,,,,
77,78,6670,復盛應用,市,12/23,,180.5,-0.5,-0.28,122,22.1,181,181,181.5,180.5,0.55,11.7,4.18,,,,
78,79,9914,美利達,市,12/23,,177,+1.5,+0.85,356,62.9,175.5,176,177.5,175.5,1.14,22,3.9,,,,
79,80,8070,長華,市,12/23,,175,+1.5,+0.86,81,14.1,173.5,173.5,175,173.5,0.86,9.7,1.98,,,,
80,81,6679,鈺太,櫃,12/23,,174.5,+1.5,+0.87,1796,314,173,176,178.5,171,4.34,50.6,6.97,,,,
81,82,6666,羅麗芬-KY,市,12/23,,174,+0.5,+0.29,19,3.35,173.5,174.5,174.5,173.5,0.58,16.6,4.74,,,,
82,83,4551,智伸科,市,12/23,,173,-3.5,-1.98,864,150,176.5,177.5,178,172.5,3.12,23,4.69,,,,
83,84,6491,晶碩,市,12/23,,173,-0.5,-0.29,72,12.5,173.5,173,173,172.5,0.29,20.4,4.36,,,,
84,85,2439,美律,市,12/23,,172,-1,-0.58,5588,958,173,174,174.5,170,2.6,10.8,2.94,,,,
85,86,5263,智崴,櫃,12/23,,172,-3,-1.71,136,23.7,175,175,175.5,172,2,23.8,3.3,,,,
86,87,4943,康控-KY,市,12/23,,170,-3,-1.73,1662,284,173,174,174.5,169.5,2.89,47.6,4.83,,,,
87,88,8016,矽創,市,12/23,,170,-3,-1.73,1876,324,173,175,175.5,170,3.18,18,4.02,,,,
88,89,2707,晶華,市,12/23,,169.5,0,0,184,31.1,169.5,169.5,170,168,1.18,15.7,7.1,,,,
89,90,6238,勝麗,櫃,12/23,,168.5,-2.5,-1.46,1069,181,171,171,172,168,2.34,26.9,4.35,,,,
90,91,2345,智邦,市,12/23,,168,-0.5,-0.3,2128,358,168.5,169.5,170,167,1.78,20,7.89,,,,
91,92,4968,立積,市,12/23,,168,+2,+1.2,4757,792,166,166,169,163,3.61,56,7.9,,,,
92,93,2732,六角,櫃,12/23,,167.5,-2,-1.18,334,55.9,169.5,169.5,170,164.5,3.24,18.9,4.46,,,,
93,94,6613,朋億,櫃,12/23,,167.5,0,0,68,11.4,167.5,166,168,166,1.19,12,2.66,,,,
94,95,6426,統新,櫃,12/23,,166,0,0,566,93.6,166,165,167,163.5,2.11,58.4,7.16,,,,
95,96,3130,一零四,市,12/23,,161.5,-2.5,-1.52,4,0.65,164,163,163,161.5,0.91,19.5,3.75,,,,
96,97,3680,家登,櫃,12/23,,160.5,-17.5,-9.83,2514,414,178,163.5,170,160.5,5.34,33.9,7.29,,,,
97,98,5289,宜鼎,櫃,12/23,,160,+2,+1.27,1855,300,158,158.5,164.5,158.5,3.8,13.4,3.02,,,,
98,99,1477,聚陽,市,12/23,,156.5,-0.5,-0.32,1844,290,157,157,158.5,156.5,1.27,18.3,3.91,,,,
99,100,8422,可寧衛,市,12/23,,156.5,0,0,120,18.8,156.5,156.5,157.5,156.5,0.64,15.1,3.22,,,,
100,101,4766,南寶,市,12/23,,153.5,-1.5,-0.97,72,11.1,155,155,155.5,153.5,1.29,17.8,1.9,,,,
101,102,6569,醫揚,櫃,12/23,,152.5,-0.5,-0.33,14,2.17,153,152,153,151.5,0.98,16.2,3.49,,,,
102,103,1537,廣隆,市,12/23,,151,+2.5,+1.68,435,65.4,148.5,148.5,152,148.5,2.36,12.8,3.17,,,,
103,104,6472,保瑞,櫃,12/23,,150.5,-2,-1.31,134,20.2,152.5,154.5,154.5,150,2.95,16.7,3.71,,,,
104,105,4438,廣越,市,12/23,,150,0,0,214,32.3,150,150,152,150,1.33,15.3,2.23,,,,
105,106,2308,台達電,市,12/23,,148.5,+2,+1.37,5570,822,146.5,147,148.5,146.5,1.37,16,2.79,,,,
106,107,8083,瑞穎,櫃,12/23,,145.5,0,0,47,6.8,145.5,145.5,145.5,144,1.03,15.6,4.61,,,,
107,108,3227,原相,櫃,12/23,,145,+3.5,+2.47,4847,700,141.5,142.5,145.5,142.5,2.12,31.7,3.1,,,,
108,109,6271,同欣電,市,12/23,,143,+1.5,+1.06,4097,591,141.5,143.5,146.5,141,3.89,29.9,2.37,,,,
109,110,6274,台燿,櫃,12/23,,143,0,0,672,96,143,143,145,142,2.1,19.7,3.91,,,,
110,111,8480,泰昇-KY,市,12/23,,141,-2,-1.4,49,6.93,143,142,142,140.5,1.05,17.5,3.29,,,,
111,112,1268,漢來美食,櫃,12/23,,140,-1.5,-1.06,25,3.52,141.5,140.5,141.5,139.5,1.41,19.3,3.61,,,,
112,113,5871,中租-KY,市,12/23,,139.5,0,0,1999,278,139.5,140,140,138.5,1.08,12.5,2.79,,,,
113,114,4958,臻鼎-KY,市,12/23,,138.5,-1,-0.72,914,127,139.5,138.5,139.5,138,1.08,14.6,1.95,,,,
114,115,2360,致茂,市,12/23,,137,+1,+0.74,685,93.9,136,137,138.5,135.5,2.21,33.1,4.07,,,,
115,116,8482,商億-KY,市,12/23,,137,-1,-0.72,25,3.43,138,137.5,138,137,0.72,15.6,4.96,,,,
116,117,4536,拓凱,市,12/23,,136,+2,+1.49,451,61.6,134,135,139,135,2.99,12.8,2.37,,,,
117,118,4163,鐿鈦,櫃,12/23,,134.5,+2,+1.51,243,32.5,132.5,133,135,132.5,1.89,13.7,3.02,,,,
118,119,4174,浩鼎,櫃,12/23,,134.5,-3,-2.18,341,46.3,137.5,138,138,134.5,2.55,,4.53,,,,
119,120,6451,訊芯-KY,市,12/23,,133.5,-1.5,-1.11,434,58.3,135,135,135.5,133.5,1.48,21.3,2.5,,,,
120,121,6504,南六,市,12/23,,133.5,-1,-0.74,21,2.8,134.5,134.5,134.5,133.5,0.74,19,3.23,,,,
121,122,1558,伸興,市,12/23,,132,0,0,52,6.9,132,133,133,132,0.76,11.2,1.7,,,,
122,123,4107,邦特,櫃,12/23,,130,+0.5,+0.39,641,83.1,129.5,129.5,131.5,128.5,2.32,18.9,3.75,,,,
123,124,5278,尚凡,櫃,12/23,,129,-7.5,-5.49,143,18.6,136.5,136,136,129,5.13,7.17,5.65,,,,
124,125,6533,晶心科,市,12/23,,128.5,-2,-1.53,704,91.3,130.5,131.5,132,127.5,3.45,120,4.71,,,,
125,126,3023,信邦,市,12/23,,127.5,+0.5,+0.39,688,87.6,127,128.5,129,125.5,2.76,17.7,4.01,,,,
126,127,3044,健鼎,市,12/23,,126.5,+0.5,+0.4,712,89.9,126,127,127,125.5,1.19,11.4,2.02,,,,
127,128,3376,新日興,市,12/23,,126.5,-0.5,-0.39,1123,143,127,128,128.5,125.5,2.36,17.4,1.75,,,,
128,129,2723,美食-KY,市,12/23,,126,+5,+4.13,1297,162,121,121.5,126.5,121.5,4.13,21.4,2.23,,,,
129,130,2383,台光電,市,12/23,,125,0,0,2065,258,125,125,125.5,124.5,0.8,15.8,3.2,,,,
130,131,3558,神準,櫃,12/23,,125,-2,-1.57,106,13.4,127,127.5,128,125,2.36,14.8,2.25,,,,
131,132,6213,聯茂,市,12/23,,125,-4.5,-3.47,4410,558,129.5,128,129,125,3.09,16.3,4.48,,,,
132,133,5288,豐祥-KY,市,12/23,,124,+1,+0.81,44,5.44,123,123,124,123,0.81,13,2.72,,,,
133,134,8081,致新,市,12/23,,124,-3,-2.36,723,90.7,127,128,128,124,3.15,15.6,2.65,,,,
134,135,8446,華研,櫃,12/23,,124,-1,-0.8,78,9.65,125,125.5,125.5,124,1.2,12.3,4.59,,,,
135,136,4572,駐龍,市,12/23,,123,+4.5,+3.8,256,31.3,118.5,119,124,118.5,4.64,16.9,2.25,,,,
136,137,1723,中碳,市,12/23,,122.5,+0.5,+0.41,112,13.7,122,122,123,122,0.82,19,4.15,,,,
137,138,4736,泰博,櫃,12/23,,122.5,-1,-0.81,155,19.1,123.5,123.5,124,122.5,1.21,15.1,2.5,,,,
138,139,1232,大統益,市,12/23,,121.5,+1.5,+1.25,44,5.32,120,121,121.5,120.5,0.83,19,5.09,,,,
139,140,4763,材料-KY,市,12/23,,121,-1.5,-1.22,115,14,122.5,122.5,123,121,1.63,20.9,5.23,,,,
140,141,4190,佐登-KY,市,12/23,,120.5,+2,+1.69,472,56.2,118.5,117,120.5,117,2.95,16.2,3.93,,,,
141,142,6176,瑞儀,市,12/23,,120,+0.5,+0.42,1607,192,119.5,120,120.5,118.5,1.67,8.1,2.06,,,,
142,143,6435,大中,櫃,12/23,,120,+4,+3.45,2720,324,116,118,120.5,116.5,3.45,16.1,4.78,,,,
143,144,9802,鈺齊-KY,市,12/23,,119.5,-4,-3.24,749,90.4,123.5,123.5,123.5,119.5,3.24,18.6,2.61,,,,
144,145,3691,碩禾,櫃,12/23,,119,+0.5,+0.42,520,61.8,118.5,118.5,120.5,116.5,3.38,,1.55,,,,
145,146,4935,茂林-KY,市,12/23,,119,-5.5,-4.42,15637,1969,124.5,128,129.5,119,8.43,61,2.52,,,,
146,147,3532,台勝科,市,12/23,,117.5,+2.5,+2.17,727,84.4,115,115,117.5,114,3.04,13.8,2.25,,,,
147,148,8279,生展,櫃,12/23,,117,-1,-0.85,46,5.44,118,117.5,118.5,117,1.27,14.9,2.45,,,,
148,149,8416,實威,櫃,12/23,,116,0,0,3,0.35,116,115.5,116.5,115.5,0.86,12.7,3.39,,,,
149,150,1580,新麥,櫃,12/23,,115.5,-2,-1.7,357,41.4,117.5,118,118,115,2.55,11.3,2.82,,,,
150,151,5299,杰力,櫃,12/23,,115.5,0,0,665,77,115.5,115.5,117,114.5,2.16,14,4.01,,,,
151,152,1536,和大,市,12/23,,114.5,-0.5,-0.43,636,73.1,115,115.5,116,114,1.74,35.4,4.51,,,,
152,153,6464,台數科,市,12/23,,114.5,+1.5,+1.33,7,0.8,113,113,114.5,113,1.33,21.5,2.23,,,,
153,154,9941,裕融,市,12/23,,114.5,0,0,296,33.8,114.5,114.5,115,114,0.87,15.4,2.71,,,,
154,155,2456,奇力新,市,12/23,,114,+1.5,+1.33,9866,1113,112.5,113,114,111,2.67,20.1,1.19,,,,
155,156,3045,台灣大,市,12/23,,114,+0.5,+0.44,1613,183,113.5,113.5,114,113,0.88,25.3,5.03,,,,
156,157,2228,劍麟,市,12/23,,113.5,-3,-2.58,468,53.6,116.5,117.5,117.5,112.5,4.29,15,2.29,,,,
157,158,1795,美時,市,12/23,,113,+6.5,+6.1,6366,703,106.5,108,113,107,5.63,46.1,3.59,,,,
158,159,2752,豆府,櫃,12/23,,112,+0.5,+0.45,21,2.36,111.5,112,113,112,0.9,18.5,3.2,,,,
159,160,3527,聚積,櫃,12/23,,112,-2.5,-2.18,497,55.9,114.5,114.5,115.5,111,3.93,18.6,2.2,,,,
160,161,2412,中華電,市,12/23,,111.5,+0.5,+0.45,2549,283,111,111,111.5,110.5,0.9,25.9,2.36,,,,
161,162,2926,誠品生活,櫃,12/23,,111.5,+0.5,+0.45,18,2.02,111,111,111.5,110,1.35,19.5,4.32,,,,
162,163,5203,訊連,市,12/23,,111.5,0,0,167,18.7,111.5,112.5,112.5,111.5,0.9,25.5,2.28,,,,
163,164,6269,台郡,市,12/23,,111.5,-0.5,-0.45,1268,141,112,111,112,111,0.89,12.9,1.84,,,,
164,165,3617,碩天,市,12/23,,110.5,-1,-0.9,138,15.3,111.5,111.5,112.5,109.5,2.69,13.6,1.95,,,,
165,166,8489,三貝德,櫃,12/23,,110.5,-2.5,-2.21,129,14.5,113,113,113.5,110,3.1,27.2,5.58,,,,
166,167,2455,全新,市,12/23,,109,-2,-1.8,1180,130,111,111.5,112,109,2.7,43.2,7.45,,,,
167,168,6456,GIS-KY,市,12/23,,108.5,-3,-2.69,2121,233,111.5,111.5,112,108.5,3.14,9.56,1.48,,,,
168,169,4803,VHQ-KY,櫃,12/23,,107.5,-0.5,-0.46,102,10.9,108,108.5,109,107.5,1.39,9.16,2.21,,,,
169,170,5434,崇越,市,12/23,,107.5,-1,-0.92,392,42.1,108.5,108.5,108.5,107,1.38,11.4,2.18,,,,
170,171,6278,台表科,市,12/23,,107.5,-5.5,-4.87,20306,2173,113,112,112,104,7.08,17.1,2.49,,,,
171,172,6690,安碁資訊,櫃,12/23,,107.5,-3,-2.71,168,18.1,110.5,111.5,111.5,106.5,4.52,19.9,6.01,,,,
172,173,008201,BP上證50,市,12/23,,107.1,-0.9,-0.83,0.2,0.02,108,107.8,107.8,107.1,0.6,0,,,,,
173,174,4119,旭富,市,12/23,,107,-0.5,-0.47,436,46.8,107.5,108,108.5,106.5,1.86,14.4,2.51,,,,
174,175,5306,桂盟,櫃,12/23,,107,-0.5,-0.47,38,4.03,107.5,107.5,108,107,0.93,13.5,2.64,,,,
175,176,6516,勤崴國際,櫃,12/23,,106.5,+4,+3.9,170,18.1,102.5,102.5,111,102.5,8.29,178,3.8,,,,
176,177,4912,聯德控股-KY,市,12/23,,106,0,0,24,2.53,106,107,107,106,0.94,15.5,2.69,,,,
177,178,1788,杏昌,櫃,12/23,,105,0,0,25,2.64,105,105,105.5,105,0.48,15.9,2.2,,,,
178,179,4953,緯軟,櫃,12/23,,105,+0.5,+0.48,368,38.7,104.5,105,106,104.5,1.44,17.6,3.4,,,,
179,180,8114,振樺電,市,12/23,,104,0,0,41,4.25,104,104,104.5,103.5,0.96,17.3,2.71,,,,
180,181,8499,鼎炫-KY,市,12/23,,104,0,0,87,9.03,104,105,105,103,1.92,11,3.01,,,,
181,182,6294,智基,櫃,12/23,,102,-0.5,-0.49,14,1.48,102.5,102,102.5,102,0.49,12.9,4.63,,,,
182,183,1301,台塑,市,12/23,,101,0,0,3051,307,101,101,101,100,0.99,17.6,1.83,,,,
183,184,6239,力成,市,12/23,,100.5,-1,-0.99,5800,589,101.5,102.5,104,100.5,3.45,15.2,1.9,,,,
184,185,4977,眾達-KY,市,12/23,,100,-1.5,-1.48,511,51.4,101.5,101.5,102,100,1.97,27.2,3.21,,,,
185,186,8086,宏捷科,櫃,12/23,,99.9,-3.6,-3.48,5738,584,103.5,104.5,105,99.5,5.31,58.1,4.95,,,,
186,187,8155,博智,櫃,12/23,,99.6,-2.4,-2.35,970,98.1,102,102,103.5,99.2,4.22,29.1,3.36,,,,
187,188,6446,藥華藥,櫃,12/23,,99.5,-1,-1,184,18.4,100.5,100.5,100.5,99.5,1,,11.9,,,,
188,189,3026,禾伸堂,市,12/23,,99.4,-0.6,-0.6,1392,139,100,100.5,100.5,99.2,1.3,15.2,1.72,,,,
189,190,4147,中裕,櫃,12/23,,98.8,-2.7,-2.66,1475,146,101.5,100,100,98.5,1.48,,6.8,,,,
190,191,6411,晶焱,櫃,12/23,,98.7,+1.2,+1.23,5079,505,97.5,99.1,100.5,98.3,2.26,14.7,3.26,,,,
191,192,5283,禾聯碩,市,12/23,,98.5,-0.2,-0.2,105,10.4,98.7,98.7,99,98,1.01,9.61,1.88,,,,
192,193,6505,台塑化,市,12/23,,98.5,+0.8,+0.82,1688,166,97.7,97.7,98.5,97.6,0.92,36.8,2.89,,,,
193,194,5483,中美晶,櫃,12/23,,98,+0.2,+0.2,9065,893,97.8,98.8,99.9,97.3,2.66,98,2.17,,,,
194,195,1597,直得,櫃,12/23,,97.8,-0.3,-0.31,1114,109,98.1,98.3,99.4,97.2,2.24,35,3.99,,,,
195,196,6698,旭暉應材,市,12/23,,97.5,+4.5,+4.84,2408,234,93,94.1,100,94.1,6.34,32.2,6.52,,,,
196,197,3530,晶相光,市,12/23,,97.3,+0.5,+0.52,920,89.8,96.8,96.6,98.9,96.6,2.38,43.4,3.66,,,,
197,198,0050,元大台灣50,市,12/23,,97.15,+0.2,+0.21,3417,332,96.95,97,97.3,96.95,0.36,0,,,,,
198,199,8255,朋程,櫃,12/23,,96.7,+0.2,+0.21,141,13.7,96.5,96.5,97.1,96.2,0.93,19.1,2.17,,,,
199,200,6706,惠特,市,12/23,,96.1,+4.7,+5.14,4125,386,91.4,91.3,97.9,90,8.64,14.9,3.11,,,,
200,201,2939,凱羿-KY,市,12/23,,96,-3.6,-3.61,146,14,99.6,98.5,98.5,95,3.51,15.6,3.26,,,,
201,202,3019,亞光,市,12/23,,95.8,+6.9,+7.76,31364,3026,88.9,95,97.7,94.2,3.94,22.7,2.23,,,,
202,203,3630,新鉅科,櫃,12/23,,95.2,+2.2,+2.37,4614,441,93,94,96.6,94,2.8,42.5,3.91,,,,
203,204,3338,泰碩,市,12/23,,95,-0.5,-0.52,6530,629,95.5,96.9,97.5,95,2.62,30.2,5.47,,,,
204,205,1773,勝一,市,12/23,,94,+0.4,+0.43,65,6.11,93.6,93.3,94,93,1.07,16.4,3.02,,,,
205,206,8044,網家,櫃,12/23,,93.6,-2.4,-2.5,896,83.9,96,94.5,95,92.4,2.71,92.7,3.61,,,,
206,207,2239,英利-KY,市,12/23,,93.3,0,0,55,5.15,93.3,93.6,94.3,93.2,1.18,16,1.04,,,,
207,208,6416,瑞祺電通,市,12/23,,93.3,+0.3,+0.32,105,9.79,93,93,93.6,93,0.65,20.1,2.59,,,,
208,209,2428,興勤,市,12/23,,93,-0.4,-0.43,522,48.7,93.4,93.5,93.7,92.5,1.28,11.2,1.93,,,,
209,210,6672,騰輝電子-KY,市,12/23,,92.7,-1,-1.07,412,38.4,93.7,93.8,94.3,92.7,1.71,15.4,2.88,,,,
210,211,2548,華固,市,12/23,,92.3,-0.6,-0.65,1089,101,92.9,92.9,93.5,92.1,1.51,7.62,1.54,,,,
211,212,3454,晶睿,市,12/23,,92,-0.7,-0.76,128,11.8,92.7,93.3,93.3,92,1.4,23.2,2.78,,,,
212,213,2317,鴻海,市,12/23,,91.5,+0.4,+0.44,17512,1596,91.1,91.3,91.7,90.7,1.1,9.74,1.05,,,,
213,214,3546,宇峻,櫃,12/23,,91.3,+0.3,+0.33,576,53,91,91.3,93,90.6,2.64,25,3.38,,,,
214,215,3570,大塚,櫃,12/23,,91,0,0,18,1.64,91,91.9,92,90.1,2.09,12,2.48,,,,
